label	category	explanation
0	syntax	" The verb ""hoped"" should agree in number with the subject ""everyone"". Also, the pronoun ""she"" should be in its nominative form as it is the subject of the infinitive phrase ""to sing"". It should be ""Everyone hoped that she would sing."" or ""Everyone hoped that the singer would perform."" depending on what you intended to convey.
"
1	none	" None
"
0	syntax	" The verb ""devoured"" should agree in number with the subject ""crocodile"". Also, the object of the verb ""devoured"" should be a doughnut not a donut. It should be ""The crocodile devoured the doughnut."" or ""The alligator consumed the pastry."" depending on what you intended to convey.
"
1	none	" None
"
0	syntax	" The correct preposition to use in this context is ""in"" instead of ""under"". So, it should be ""John put IN the bathtub.""
"
1	none	" None
"
0	syntax	" The correct preposition to use in this context is ""on"" instead of ""for"". So, it should be ""Kim depends ON Sandy.""
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
0	syntax	" The mistake is in the past participle form used for the second verb. Instead of ""was nominated,"" it should be ""nominated.""
"
0	syntax	" The mistake is in the article used before ""FTA."" Instead of ""possible,"" it should be ""a.""
"
0	syntax	" The mistake is in the preposition used. Instead of ""paid me against,"" it should be ""paid me for.""
"
1	none	" None
"
0	syntax	" The mistake is in the verb form used for the second verb. Instead of ""be,"" it should be ""do."". So, it should be ""We made them be rude.""
"
1	none	" None
"
0	syntax	" The first mistake is that ""studying English"" should be ""study English,"" as it's an action being performed by students, not a subject they study. The second mistake is that the verb tense of ""reads"" should match with the subject ""Students."" It should be in present simple tense, so it should be ""read"" instead of ""reads."". The corrected sentence would be: Students study English reads Conrad's Heart of Darkness while at university.
"
1	none	" None
"
1	none	" None
"
0	syntax	" The first mistake is that ""of students"" should be removed as it's not necessary in this context, and the verb ""failed"" should agree with the subject ""student."" So, it should be ""neither student failed,"" or ""none of the students failed."". The corrected sentence would be: Neither student failed.
"
0	syntax	" The first mistake is that ""of water"" should be removed as it's not necessary in this context, and the verb ""drank"" should agree with the subject ""I."" So, it should be ""I drank some water,"" or ""I drink water."". The corrected sentence would be: I drank some water.
"
0	morphology	" The first mistake is that ""hair"" should be pluralized as there's more than one hair, so it should be ""golden hairs."" The second mistake is the use of the article ""a,"" which suggests a general or indefinite noun, but ""golden hairs"" is specific and definite. So, it should be ""the golden hairs."" . The corrected sentence would be: The golden hairs are shiny.
"
1	none	" None
"
0	syntax	" The first mistake is that ""it"" should be replaced with a proper noun or pronoun to refer to the dog, as it's unclear which dog is being referred to. So, it could be ""That dog is so ferocious that even tried to bite itself."" Or ""That dog is so ferocious that it bites everything in sight, including itself."". The second mistake is a semantic error where the sentence implies that the dog bit its own tail or body, but this action doesn't make sense for a ferocious dog. So, it should be rephrased to avoid confusion and contradiction. The corrected sentence would be: That dog is so ferocious that it even tried to bite everything in sight, including other dogs and people.
"
0	syntax	" The first mistake is that ""yourself"" should be removed as it's a reflexive pronoun, which means the subject performs an action on themselves. In this case, there's no need for a reflexive pronoun because the subject already performed the action of washing. So, it should be ""He washed himself."". The second mistake is that ""washed"" should agree with the subject ""he,"" so it should be in third person singular form, which is ""washes."" The corrected sentence would be: He washes himself.
"
0	morphology	" The first mistake is that ""please Kim"" should be removed as it doesn't make sense in this context, and there's no need to mention the person being pleased. So, it could be ""John is easy to please,"" or ""John is easy to satisfy."". The second mistake is that ""is"" should agree with the subject ""Kim,"" so it should be in third person singular form, which is ""pleases."". The corrected sentence would be: John pleases Kim easily.
"
0	syntax	" The first mistake is that ""to be intelligent"" should be replaced with a proper verb form to convey meaning, as it's unclear what action or state the subject is performing. So, it could be ""There seemed to be intelligent life,"" or ""There seemed to be an intelligent solution."". The second mistake is a semantic error where the sentence implies that intelligence can seem like something, but this doesn't make sense as intelligence is not a tangible object or state that can be perceived by senses. So, it should be rephrased to avoid confusion and contradiction. The corrected sentence would be: There seemed to be evidence of intelligent life on Mars.
"
1	none	" None 
"
0	syntax	" The first mistake is that ""to be a fountain"" should be replaced with a proper verb form to convey meaning, as it's unclear what action or state the subject is performing. So, it could be ""We believed John was a fountain in the park,"" or ""We believed John had turned into a fountain in the park."". The second mistake is a semantic error where the sentence implies that John has become a physical object (a fountain), which doesn't make sense. So, it should be rephrased to avoid confusion and contradiction. The corrected sentence would be: We believed John had turned into a fountain in the park.
"
0	syntax	" The first mistake is that ""it"" should be replaced with a proper noun or pronoun to refer to the subject, as it's unclear what or who is trying to leave the country. So, it could be ""The government tries to leave the country,"" or ""The citizens try to leave the country."". The second mistake is that ""tries"" should agree with the subject, so it should be in third person singular form, which is ""try."" The corrected sentence would be: The government tries to leave the country.
"
1	none	" None
"
0	syntax	" The first mistake is that ""seems"" should be replaced with a proper verb form to convey meaning, as it's unclear what action or state the subject is performing. So, it could be ""Under the bed is a fun place to hide,"" or ""Under the bed appears to be a fun place to hide."". The second mistake is that ""to hide"" should agree with the subject, so it should be in third person singular form, which is ""hides."". The corrected sentence would be: Under the bed is a fun place to hide.
"
0	syntax	" The first mistake is that ""believed to be"" should be replaced with a proper verb form to convey meaning, as it's unclear what action or state the subject is performing. So, it could be ""There is believed to have sheep in the park,"" or ""There are believed to be sheep in the park."". The second mistake is that ""to be"" should agree with the subject and verb tense, so it should be in third person singular form, which is ""are."". The corrected sentence would be: There are believed to be sheep in the park.
"
0	syntax	" The first mistake is that ""to would"" should be replaced with a proper verb form to convey meaning, as it's unclear what action or state the subject is performing. So, it could be ""I hope to study in France,"" or ""I plan to study in France."". The second mistake is that ""would"" should agree with the subject and verb tense, so it should be in first person singular form, which is ""will."". The corrected sentence would be: I hope to study in France.
"
1	none	" None
"
0	syntax	" The first mistake is that ""will rain"" should be replaced with a proper verb form to convey meaning, as it's unclear what action or state the subject is performing. So, it could be ""It will rain tomorrow,"" or ""John says it will rain tomorrow."". The second mistake is that ""rain"" should agree with the subject and verb tense, so it should be in third person singular form, which is ""rains."". The corrected sentence would be: It will rain tomorrow.
"
0	syntax	" The first mistake is that ""to will"" should be replaced with a proper verb form to convey meaning, as it's unclear what action or state the subject is performing. So, it could be ""We expect there to rain,"" or ""We anticipate there will be rain."". The second mistake is that ""will"" should agree with the subject and verb tense, so it should be in first person plural form, which is ""will."". The corrected sentence would be: We expect there to rain.
"
1	none	" None 
"
0	syntax	" The first mistake is that ""be"" should be replaced with a proper verb form to convey meaning, as it's unclear what action or state the subject is performing. So, it could be ""Was the child at school?"" or ""Did the child attend school?"". The second mistake is that ""in"" should agree with the preposition and object, so it should be in third person singular form, which is ""at."". The corrected sentence would be: Was the child at school?
"
1	none	" None
"
0	syntax	" The sentence is grammatically incorrect because it contains a double negative (""not to leave"" and ""wants not""). In English, using two negatives in one sentence can create confusion about the intended meaning. To fix this issue, you could either remove one of the negatives or rephrase the sentence for clarity. For example: John wants to stay in town. (removing the double negative); He doesn't want to leave the town. (using a single negative and changing ""wants not"" to ""doesn't"")
"
0	syntax	" The sentence contains a mismatch in verb tense between ""likes"" (present tense) and ""hates"" (present tense with an added ""-s"" for third-person singular). To correct this issue, you should ensure that both verbs are in the same tense. Here's one possible correction: Mary likes to tour art galleries, but Bill hates to do so. (changing ""doesn't like"" to ""hates"" for consistency)
"
1	none	" None 
"
1	none	" None 
"
0	syntax	" The sentence contains a mismatch in verb tense between ""love"" (present tense) and ""do not"" (negative form of ""do,"" which is also present tense). To correct this issue, you should ensure that both verbs are in the same tense. Here's one possible correction: They love to play golf, but I don't. (changing ""do not"" to ""don't"" for consistency)
"
1	none	" None
"
0	syntax	" The sentence contains a mismatch in verb tense between ""could"" (past tense) and ""do anything worth mentioning"" (present tense). To correct this issue, you should ensure that both verbs are in the same tense. Here's one possible correction: As a statesman, he could hardly do anything worth mentioning. (changing ""could"" to ""couldn't"" and adjusting the word order for clarity)
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
0	syntax	" The sentence is grammatically incorrect because it lacks a subject for the verb ""was driven."" To fix this issue, you could add a subject to the sentence or rephrase it for clarity. For example: John drove the car. (adding a subject); Someone drove the car. (using a more general subject); The car was moved by someone. (changing ""was driven"" to ""was moved"" and using a more specific subject)
"
1	none	" None
"
0	syntax	" The sentence contains a mismatch in verb tense between ""was slept"" (past participle) and ""in"" (preposition). Additionally, ""slept"" should be in its base form ""sleep."" To correct this issue, you can change the verb to the past tense and use the appropriate preposition. Here's one possible correction: The bed was slept on. (changing ""was slept"" to ""was slept on"")
"
0	syntax	" The sentence contains a mismatch in verb tense between ""was weighed"" (past participle) and ""by the book"" (prepositional phrase). Additionally, ""weighed"" should be in its base form ""weigh."" To correct this issue, you can change the verb to the past tense and use the appropriate preposition. Here's one possible correction: The book weighed a pound. (changing ""was weighed"" to ""weighed"" and reordering the phrases for clarity)
"
1	none	" None
"
1	none	" None
"
0	syntax	" The sentence contains a mismatch in verb tense between ""knows"" (present tense) and ""her to vote for"" (infinitive phrase). To correct this issue, you should ensure that both verbs are in the same tense. Here's one possible correction: Fed knows which politician to vote for. (changing ""her to vote for"" to ""to vote for"")
"
1	none	" None
"
0	syntax	" The sentence contains a mismatch in verb tense between ""knows"" (present tense) and ""whose efforts to achieve peace the world should honor"" (infinitive phrase). To correct this issue, you should ensure that both verbs are in the same tense. Here's one possible correction: The committee knows whose efforts should be honored for achieving peace. (changing ""whose efforts to achieve peace the world should honor"" to ""whose efforts should be honored for achieving peace"")
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
0	syntax	" The sentence contains a mismatch in verb tense between ""fell"" (past tense) and ""in love with"" (present participle). Additionally, there is an unnecessary redundancy in the phrase ""with whom."" To correct this issue, you can change the verbs to the same tense and remove the redundant phrase. Here's one possible correction: Jack is the person Jenny fell in love with. (changing ""fell"" to ""fell"" and removing ""with whom"")
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
0	syntax	" The sentence contains a mismatch in verb tense between ""get bored"" (present tense) and ""because Mary talked about"" (infinitive phrase). To correct this issue, you should ensure that both verbs are in the same tense. Here's one possible correction: Which topic did you get bored of because Mary talked about it? (changing ""get bored"" to ""get bored of"" and changing ""because Mary talked about"" to ""because Mary talked about it"")
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
0	syntax	" The subject and verb do not agree in number. ""Any trouble"" is singular but ""what I don't want"" is plural. A possible correction could be: ""I don't want any trouble.""
"
1	none	" None
"
0	syntax	" The subject and verb do not agree in number. ""Some of them"" is plural but ""made as many errors as 20"" is singular. A possible correction could be: ""Some of them made as many errors as twenty.""
"
0	syntax	" The subject and verb do not agree in gender. ""Sally"" is singular and feminine but ""kissed himself"" is plural and masculine. A possible correction could be: ""Sally kissed herself.""
"
0	syntax	" The subject and verb do not agree in number. ""Drew believes"" is singular but ""I think Rosie loves magazine ads"" is plural. A possible correction could be: ""Drew believes that I think Rosie loves magazine ads.""
"
1	none	" None
"
1	none	" None
"
0	semantics	" The subject ""Blue leather"" is not appropriate for the sentence, it should be a person or an animal. Also, the verb ""shows herself"" does not agree with the subject ""Betsy"". A possible correction could be: ""Betsy shows herself that she is pretty.""
"
1	none	" None
"
0	syntax	" The subject ""I"" is singular but the verb ""knew"" is plural. Also, the word order should be ""You knew that I hit it."" A possible correction could be: ""You knew that I hit it.""
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
0	syntax	" The subject ""they"" is plural but the verb ""chased"" should be in singular form to agree with the object ""man"". Also, it should be ""They chased the man with their car."" A possible correction could be: ""They chased the man with their car.""
"
1	none	" None
"
0	syntax	" The subject ""the book of poems"" is singular but the verb ""takes"" should be in plural form to agree with the object ""from Blackwell"". Also, it should be ""The book of poems from Blackwell takes a very long time to read."" A possible correction could be: ""The book of poems from Blackwell takes a very long time to read.""
"
1	none	" None
"
1	none	" None
"
0	syntax	" The subject ""the building"" is singular but the verb ""is leaking"" should be in plural form to agree with the object ""roof"". Also, it should be ""The building's roof is leaking."" A possible correction could be: ""The building's roof is leaking.""
"
0	syntax	" The subject ""the panther"" is singular but the verb ""is"" should be in plural form to agree with the object ""coat"". Also, it should be ""The panther's coat is dark black."" A possible correction could be: ""The panther's coat is dark black.""
"
1	none	" None
"
0	syntax	" The subject ""the man"" is singular but the verb ""robbed"" should be in plural form to agree with the object ""bank"". Also, it should be ""The man I saw getting into the cab robbed the bank."" A possible correction could be: ""The man I saw getting into the cab robbed the bank.""
"
1	none	" None
"
0	syntax	" The verb ""bother"" should be in singular form to agree with the object ""me"". Also, it should be ""John's drum will always bother me."" A possible correction could be: ""John's drum will always bother me.""
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
0	syntax	" The subject ""Andy"" is singular but the verb ""to eat"" should be in plural form to agree with the object ""salmon flavored candy bars"". Also, it should be ""Heidi thinks that Andy eats salmon-flavored candy bars."" A possible correction could be: ""Heidi thinks that Andy eats salmon-flavored candy bars.""
"
1	none	" None
"
1	none	" None
"
0	syntax	" The subject ""Calvin"" is singular but the verb ""did"" should be in plural form to agree with the object ""his homework"". Also, it should be ""Did Calvin do his homework?"" A possible correction could be: ""Did Calvin do his homework?""
"
0	syntax	" The verb ""was slapping"" should be in past tense to agree with the time frame of the action described in the sentence. Also, it should be ""Sylvia was slapping Jeff upside the head in martial arts class."" A possible correction could be: ""Sylvia was slapping Jeff upside the head in martial arts class.""
"
0	syntax	" The verb ""buy"" should be in first person singular present tense to agree with the subject ""I"". Also, it should be ""If I were a rich man, I'd buy a diamond ring."" A possible correction could be: ""If I were a rich man, I'd buy a diamond ring.""
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
0	syntax	" The past participle ""sunk"" should agree with the subject ""was"" in number (singular or plural). The correct form would be ""was sunk,"" not ""was sink.""
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
0	syntax	" The subject ""who"" is singular and requires a singular verb, not plural. The correct form would be ""Who has Peter talked to?"" instead of ""Who has Peter talked with?"".
"
1	none	" None
"
0	morphology	" The subject ""Mary"" is singular and requires a singular verb, not plural. Also, the pronoun ""himself"" should be replaced with ""herself"" to agree with the antecedent ""Mary."" The correct form would be ""John thinks that Mary loves herself.""
"
0	syntax	" The pronoun ""himself"" should be replaced with a reflexive pronoun to make the sentence clear. Also, the verb tense needs to agree with the subject. The correct form would be ""Which pictures does John like of himself?""
"
0	syntax	" The verb ""hunts"" should be changed to agree with the subject ""owl."" Also, the word order needs to be corrected for clarity. The correct form would be ""An owl hunts mice.""
"
0	syntax	" The negative form ""didn't"" should be changed to agree with the subject ""man."" Also, the word order needs to be corrected for clarity. The correct form would be ""No man ate dinner.""
"
1	none	" None
"
0	syntax	" The pronoun ""whoever"" should be replaced with a noun or another pronoun to make the sentence clear. Also, the verb tense needs to agree with the subject. The correct form would be ""Everybody who attended last week's huge rally signed the petition.""
"
1	none	" None
"
0	syntax	" The verb ""has"" should be changed to agree with the subject ""tiger."" Also, the word order needs to be corrected for clarity. The correct form would be ""A tiger has orange fur marked with black stripes.""
"
0	syntax	" The verb ""has"" should be changed to agree with the subject ""albino tiger."" Also, the word order needs to be corrected for clarity. The correct form would be ""An albino tiger has orange fur marked with black stripes.""
"
0	syntax	" The verb ""pick"" should be changed to agree with the subject ""you."" Also, the word order needs to be corrected for clarity. The correct form would be ""Pick any flower you see.""
"
0	syntax	" The verb ""could be flying"" should be changed to agree with the subject ""pilot."" Also, the word order needs to be corrected for clarity. The correct form would be ""Any pilot on duty today could fly this plane.""
"
0	syntax	" The verb ""pick"" should be changed to agree with the subject ""you."" Also, the word order needs to be corrected for clarity. The correct form would be ""You may pick every flower but leave a few for Mary.""
"
0	syntax	" The verb ""beaten"" should be changed to agree with the subject ""Dodgers."" Also, the word order needs to be corrected for clarity. The correct form would be ""The Dodgers beat the Red Sox but lost to the Giants.""
"
0	syntax	" The verb ""seen"" should be changed to agree with the subject ""man."" Also, the word order needs to be corrected for clarity. The correct form would be ""In which car was the man seen?""
"
0	syntax	" The corrected sentence should be ""The man whom Mary loves and Sally hates computed my tax.""
"
0	syntax	" The corrected sentence should be ""The kennel that Mary made and where Fido sleeps has been stolen.""
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
0	syntax	" The subject ""She"" and verb ""was"" do not agree in number. It should be ""She asked if Alison was coming to the party."". The word order of the question is incorrect. It should be ""Was Alison coming to the party?"" or ""Did Alison come to the party?""
"
0	syntax	" The past perfect form ""never had"" should be changed to ""he had never been"" to correctly convey that Sir Thomas had never been offended before this incident. The verb tense of the main clause is incorrect. It should be in the present perfect form, as it refers to a state or action up until the time of speaking: ""They realized that he had never been so offended.""
"
1	none	" None
"
0	syntax	" The adjective ""well"" should be changed to ""knowledgeably"" or ""familiarly"" to correctly convey that he had knowledge of the country, rather than a physical attribute. The verb tense of the main clause is incorrect. It should be in the present perfect form, as it refers to an action completed before another past action: ""Knowing the country well, he took a short cut.""
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
0	syntax	" The main issue with your sentence is that it lacks a clear subject for the second clause ""that the Dome was dull."" Additionally, there should be a comma after ""Prime Minister"" to separate the two clauses. A possible corrected version of your sentence could be: ""The idea dismayed the Prime Minister, and the Dome was dull.""
"
0	syntax	" The main issue with your sentence is that it lacks a clear subject for the second clause ""without so much as a knock."" Additionally, there should be a comma after ""he"" to separate the two clauses. A possible corrected version of your sentence could be: ""He came right in without so much as a knock.""
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
1	none	" None
"
0	syntax	" The main issue with your sentence is that it lacks a clear subject for the second clause ""and very upset about it."" Additionally, there should be a comma after ""Award"" to separate the two clauses. A possible corrected version of your sentence could be: ""Pat was awarded the Golden Fleece Award and was very upset about it.""
"
0	syntax	" The main issue with your sentence is that it lacks a clear subject for the second clause ""beating his dog."" Additionally, there should be a comma after ""cats"" to separate the two clauses. Also, ""alienated"" requires an object, which is missing in this sentence. A possible corrected version of your sentence could be: ""Kim alienated cats and beat his dog.""
"
0	syntax	" The main issue with your sentence is that it lacks a clear subject for the second clause ""would be on sale."" Additionally, there should be a plural form of ""pictures"" as you're talking about pictures of each other. A possible corrected version of your sentence could be: ""They knew that pictures of themselves would be on sale.""
"
0	syntax	" The main issue with your sentence is that it lacks a clear subject for the second clause ""without reading."" Additionally, there should be an article before ""papers"" to make the sentence clearer. A possible corrected version of your sentence could be: ""Which article did Terry file papers without reading?"" or ""What article did Terry file papers without reading?""
"
1	none	" None
"
0	syntax	" The first mistake is that ""buying"" should be in its gerund form ""buy"" to function as a verb in this context. The correct sentence would be ""She goes and buys some whiskey."". The second mistake is that the subject ""she"" and the verb ""goes"" do not agree in number. The correct sentence would be ""She goes and buy some whiskey.""
"
0	syntax	" The first mistake is that the subject ""Kim and Terry"" should be in its plural form ""Kim and Terri"" to agree with the verb ""is."" The correct sentence would be ""Kim and Terri are happy."". The second mistake is that the verb ""is"" should be in its third-person singular form ""are"" to agree with the subject ""Kim and Terry."" The correct sentence would be ""Kim and Terri are happy.""
"
1	none	" None
"
0	syntax	" The first mistake is that ""will put"" should be in its present simple form ""puts"" to function as a verb in this context. The correct sentence would be ""This girl in the red coat puts a picture of Bill in the mailbox and on your desk before tomorrow."". The second mistake is that the subject ""girl"" and the verb ""will put"" do not agree in number. The correct sentence would be ""This girl in the red coat puts a picture of Bill in the mailbox and on your desk before tomorrow.""
"
0	syntax	" The first mistake is that ""will put"" should be in its present simple form ""puts"" to function as a verb in this context. The correct sentence would be ""Put a picture of Bill on your desk before tomorrow, this girl in the red coat puts a picture of Bill on your desk before tomorrow."". The second mistake is that the subject ""girl"" and the verb ""will put"" do not agree in number. The correct sentence would be ""This girl in the red coat puts a picture of Bill on your desk before tomorrow.""
"
0	syntax	" Here is an explanation of the mistakes: ""Picture of Bill"" should be ""a picture of Bill"" because ""picture"" is a countable noun that requires an article. ""this girl in the red coat will put"" should be ""she will put"" or ""the girl in the red coat will put"" to make it grammatically correct and clear who is doing the action. ""on your desk before tomorrow"" should be ""on your desk by tomorrow"" because ""before"" implies a time earlier than expected, while ""by"" indicates the latest possible time.
"
1	none	" None
"
0	syntax	" ""John became deadly afraid"" should be ""John became deathly afraid"" because ""deadly"" means causing or capable of causing death, while ""deathly"" means extremely frightened or unwell. ""of flying"" should be removed as it doesn't make sense in this context and the sentence is already clear about what John is afraid of.
"
1	none	" None
"
0	syntax	" ""which"" should be replaced with ""what"" because ""books about cooking"" is a noun phrase that functions as the object of the verb ""wants to buy"". ""Which"" is used for questions, not sentences. The sentence could also be rephrased as ""Henri wants to buy books about cooking. Which ones does he want?"" to make it grammatically correct and clear who is asking the question.
"
0	syntax	" ""fix the computer for Carol"" should be ""fix the computer for her"" or ""fix the computer for Carol's use"" to make it clear who will benefit from the fix. The sentence could also be rephrased as ""I will fix the computer and give it to Carol"" if you want to convey that you are giving the fixed computer to Carol as a gift.
"
1	none	" None
"
0	syntax	" ""The paper"" should be ""a paper"" because ""paper"" is a countable noun that requires an article. ""is cut by Mary"" should be ""was cut by Mary"" or ""has been cut by Mary"" to indicate past tense or present perfect tense, depending on the context of your sentence.
"
0	syntax	" ""It was from six to nine or it took place from six to nine"" should be rephrased as ""It either lasted from 6 to 9, or it started at 6 and ended at 9."" This makes the sentence clearer by using parallel structure and avoiding confusion between two different meanings of ""took place"". The use of ""from six to nine"" in both clauses is redundant as they are describing the same time period.
"
0	syntax	" ""Suddenly, there arrived two inspectors from the INS"" should be rephrased as ""Two inspectors suddenly arrived from the INS."" This makes the sentence clearer by using parallel structure and avoiding confusion between the subject and object of the verb. The use of ""there"" is unnecessary in this context and can be removed for a more concise sentence.
"
0	syntax	" ""The soup cooks"" should be ""The soup is cooking"" to indicate that the action of cooking is ongoing or has started but not yet finished. ""thickens"" should be ""and thickens"" to make it clear that both actions are happening simultaneously. The sentence could also be rephrased as ""As the soup cooks, it thickens."" This makes the sentence clearer by using a conjunction and avoiding confusion between two separate actions.
"
1	none	" None
"
1	none	" None
"
0	syntax	" In this sentence, there is a problem with both syntax (word order) and morphology (the form of words). The word ""even"" should not come after ""saw"", as it changes the meaning of the sentence to imply that you saw something unexpected or surprising about the student. Additionally, the verb ""was seen"" would be more appropriate than ""seen by me"" in this context.
"
0	syntax	" In this sentence, there is a problem with both syntax (word order) and morphology (the form of words). The verb tense of the second clause (""left"") should match that of the first clause (""whispered""). Additionally, ""Mary had left"" would be more appropriate than just ""Mary left"", as it implies that Mary had already left before John whispered about her departure.
"
0	syntax	" In this sentence, there is a problem with both syntax (word order) and morphology (the form of words). The phrase ""that Bill will come"" should be replaced by ""whether Bill will come"" or ""if Bill will come"", as it implies that Mary has doubts about whether Bill will arrive. Additionally, the verb tense of the second clause (""will come"") should match that of the first clause (""wonders"").
"
0	syntax	" In this sentence, there is a problem with both syntax (word order) and morphology (the form of words). The verb tense of the second clause (""will"") should match that of the first clause (""is going""). Additionally, ""the theater"" should be written as two separate words: ""to the theater"".
"
1	none	" None
"
0	syntax	" In this sentence, there is a problem with both syntax (word order) and morphology (the form of words). The word ""herself"" should come before the verb ""likes"", as it refers to the subject of the sentence (""Mary's mother""). Additionally, the verb tense of the second clause (""likes"") should match that of the first clause (""is liked by"").
"
1	none	" None
"
0	syntax	" The subject of the sentence ""John's mother"" is singular, but the verb ""likes"" should agree with it in number. Instead of saying ""likes himself,"" which would be correct if ""himself"" were the object of the verb, you have said ""likes himself,"" which implies that ""mother"" is doing the liking and ""himself"" is being liked. To fix this mistake, change ""himself"" to ""him."" So the corrected sentence should read: John's mother likes him.
"
0	syntax	" The subject of the sentence ""Mary"" is singular, but the verb ""revealed"" should agree with it in number. Instead of saying ""revealed himself,"" which would be correct if ""himself"" were the object of the verb, you have said ""revealed himself,"" which implies that ""Mary"" is doing the revealing and ""himself"" is being revealed. To fix this mistake, change ""himself"" to ""him."" So the corrected sentence should read: Mary revealed him
"
1	none	" None
"
0	syntax	" The subject of the sentence ""John"" is singular, but the verb ""heard"" should agree with it in number. Instead of saying ""heard that they criticized themselves,"" which would be correct if ""themselves"" were the object of the verb ""criticized,"" you have said ""heard that they criticized themselves,"" which implies that ""John"" is doing the hearing and ""themselves"" are being criticized. To fix this mistake, change ""themselves"" to ""them."" So the corrected sentence should read: John heard that they criticized them.
"
1	none	" None
"
0	syntax	" The subject of the sentence ""Henry"" is singular, but the verb ""found"" should agree with it in number. Instead of saying ""found that Bill is sad,"" which would be correct if ""Bill"" were a plural noun, you have said ""found that Bill is sad,"" which implies that ""Bill"" is singular and ""is"" is incorrect. To fix this mistake, change ""is"" to ""are."" So the corrected sentence should read: Henry found that Bill are sad.
"
0	syntax	" The subject of the sentence ""John"" is singular, but the verb ""considers"" should agree with it in number. Instead of saying ""considers himself proud of Mary,"" which would be correct if ""himself"" were the object of the verb ""proud,"" you have said ""considers himself proud of Mary,"" which implies that ""John"" is doing the considering and ""himself"" is being considered. To fix this mistake, change ""himself"" to ""he."" So the corrected sentence should read: John considers he is proud of Mary.
"
0	syntax	" The phrase ""before there"" is incorrect and should be changed to ""before you."" Additionally, the verb tense of ""sit"" should be consistent with the rest of the sentence. To fix these mistakes, change ""before there"" to ""before you,"" and make sure that both verbs in the sentence are in the same tense. So the corrected sentence could read: You should sit down before you leave
"
1	none	" None
"
0	syntax	" The subject of the sentence ""everyone"" is plural, but the verb ""hopes"" should agree with it in number. Instead of saying ""hopes everyone to sleep,"" which would be correct if ""to sleep"" were a singular noun, you have said ""hopes everyone to sleep,"" which implies that ""everyone"" is doing the hoping and ""to sleep"" is being hoped for by each person individually. To fix this mistake, change ""to sleep"" to ""that they sleep."" So the corrected sentence should read: Everyone hopes that everyone sleeps.
"
0	syntax	" The subject of the sentence ""he"" is singular, but the verb ""will sleep"" should agree with it in number. Instead of saying ""hopes that he will sleep,"" which would be correct if ""he"" were a plural noun, you have said ""hopes that he will sleep,"" which implies that ""he"" is doing the hoping and ""will sleep"" is being hoped for by each person individually. To fix this mistake, change ""that he will sleep"" to ""that everyone sleeps."" So the corrected sentence should read: Everyone hopes that everyone sleeps.
"
0	syntax	" The subject of the sentence ""Only Churchill"" is singular, but the verb ""remembered"" should agree with it in number. Additionally, the word ""giving"" should be changed to ""delivering,"" as ""Blood, Sweat and Tears"" was a speech given by Winston Churchill, not something he gave. To fix these mistakes, change ""Churchill giving"" to ""Churchill delivering,"" and make sure that both verbs in the sentence are in the same tense. So the corrected sentence could read: Only Churchill remembered Churchill delivering the Blood, Sweat and Tears speech.
"
1	none	" None
"
0	syntax	" The subject of the sentence ""Mary"" is singular, but the verb ""should sleep"" should agree with it in number. Additionally, the word order of the sentence could be improved for clarity. To fix these mistakes, change ""that Mary should sleep"" to ""that she should sleep,"" and make sure that both verbs in the sentence are in the same tense. So the corrected sentence could read: John convinced Bill that she should sleep.
"
0	syntax	" The subject of the first clause ""I"" is singular, but the verb ""did"" should agree with it in number. Additionally, the word order of the second clause could be improved for clarity. To fix these mistakes, change ""while you did so Mary"" to ""while you were doing so, Mary,"" and make sure that both verbs in each clause are in the same tense. So the corrected sentence could read: I saw Bill while you were doing so, Mary.
"
0	syntax	" The subject of the first clause ""Mary"" is singular, but the verb ""did"" should agree with it in number. Additionally, the word order of the second clause could be improved for clarity. To fix these mistakes, change ""Bill was give a book"" to ""Bill gave him a book,"" and make sure that both verbs in each clause are in the same tense. So the corrected sentence could read: What Mary did was give Bill a book.
"
1	none	" None
"
