label	category	explanation	correction
0	syntax	". The mistake is in the verb tense. ""Fluttered"" is in the past tense, but the sentence is describing a current or ongoing action. A better verb to use would be ""flutters"" or ""flapping.""
"	". A corrected version of the sentence could be: ""The fort flapped among many flags."" or ""The fort is flapping among many flags.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". The correct version of the sentence is: ""The stream twists through the valley.""



"
1	none	". None.
"	". The correct version of the sentence is: ""There presented itself a wonderful opportunity yesterday.""



"
1	none	". None.
"	". The correct version of the sentence is: ""A wonderful opportunity presented itself to him yesterday.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". Your sentence is grammatically correct and there is no need for any changes.



"
1	none	". None.
"	". The correct version of the sentence is: ""Jackie accompanied Rose.""



"
0	syntax	". The mistake is the incorrect use of the verb ""was"" in the sentence. ""Was"" is the correct verb for singular subjects, but ""many information"" is a plural subject, so the correct verb should be ""were.""
"	". The correct version of the sentence would be: ""Many information were provided.""



"
0	syntax	". The mistake is in the use of the verb ""offers"" instead of ""offers"".
"	". The correct version of the sentence is: ""John offers many advice.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". The sentence is grammatically correct.



"
0	syntax	". The mistake is the lack of a subject in the sentence. It should be ""Wash you!"" instead.
"	". The correct version of the sentence is ""Wash you!""



"
0	syntax	". The mistake is a missing article ""the"" before the word ""in"".
"	". The correct version of the sentence would be: ""They have no in."" or ""They have no the in.""



"
0	syntax	". The mistake is the incorrect use of the possessive apostrophe. Instead of using 's, you should use ' of' to indicate that the jobs belong to you.
"	". The correct version of the sentence is: ""Some of my jobs are in jeopardy.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""met"" should be in its past tense form ""met"" instead of ""met"".
"	". The correct version of the sentence would be: ""It was the policeman who met several young students in the park last night.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". Your sentence is grammatically correct.



"
0	syntax	". The mistake is in the subject-verb agreement. ""The monkeys"" should be ""a monkey"" because ""proud"" is a singular verb.
"	". The correct version of the sentence would be: ""A monkey is proud of its leader.""



"
0	syntax	". The mistake is that you forgot to add a verb after ""sounded"". Your sentence should be ""John sounded very, but I'm not sure if it's grammatically correct.""
"	". The correct version of the sentence is ""John sounded very, but I'm not sure if it's grammatically correct.""



"
0	syntax	". The mistake is the incorrect use of the verb ""should"" in the sentence. ""Should"" is used to indicate a condition or a recommendation, but in this context, it is used to express uncertainty.
"	". The correct version of the sentence would be: ""I don't know whether I should agree.""



"
1	none	". None.
"	". The correct version of the sentence is: ""John bought a book on the table.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". The correct version of the sentence is: ""This teacher is a genius.""



"
0	syntax	". The mistake is in the verb tense. ""Remained"" is in the past tense, but it should be in the present tense to convey the correct meaning.
"	". The correct version of the sentence would be: ""A good friend has remained with me.""



"
1	syntax	". None.
"	". The correct version of the sentence is: ""John ate his noodles quietly.""



"
1	syntax	". None.
"	". The correct version of the sentence is: ""A smith hammered the metal."" (Note: The word ""a"" should be capitalized before a noun beginning with a vowel or ""a"" in this case, as it is the first word in the sentence.)



"
1	none	". None.
"	". The correct version of the sentence is: ""Sandy removed her ballet shoes.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	. There are no grammar mistakes in the sentence. 	". The sentence is grammatically correct and conveys a clear meaning



"
0	syntax	". The mistake is the missing article ""the"" before the word ""she"".
"	". The correct version of the sentence is: ""Everyone hoped that she would sing.""



"
1	none	. There are no grammar mistakes in the sentence. 	". The sentence is grammatically correct and conveys a clear meaning



"
1	none	. There are no grammar mistakes in the sentence. 	". The sentence is grammatically correct and conveys a clear meaning



"
1	none	". None.
"	". The correct version of the sentence is: ""John is afraid of Bill.""



"
0	syntax	". The mistake is that you used the preposition ""under"" incorrectly. ""Under"" is a preposition that requires an object, but in your sentence, ""under"" is followed by the gerund ""put."" To correct the sentence, you should use the preposition ""in"" instead of ""under.""
"	". The correct version of the sentence is: ""John put the bathtub under.""



"
1	none	". None.
"	". The correct version of the sentence is: ""John placed Kim behind the garage.""



"
0	syntax	". The mistake is the incorrect order of the subject and the verb. The correct order should be ""Sandy depends on Kim.""
"	". The correct version of the sentence is ""Sandy depends on Kim.""



"
1	syntax	". None.
"	". The correct version of the sentence is: ""John put the book in the box.""



"
1	none	". None.
"	". Your sentence is grammatically correct.



"
1	none	". None.
"	". The correct version of the sentence is: ""John regards Bill as a good friend.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""box"".
"	". The correct version of the sentence is ""The box is in the room.""



"
1	none	. There are no grammar mistakes in the sentence. 	". The sentence is grammatically correct and conveys a clear meaning



"
1	none	. There are no grammar mistakes in the sentence. 	". The sentence is grammatically correct and conveys a clear meaning



"
0	syntax	". The mistake is the incorrect order of the subject and the verb. The sentence should be ""That Bill was unpopular, and Fred nominated him.""
"	". The correct version of the sentence is ""That Bill was unpopular, and Fred nominated him.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""FTA"".
"	". The correct version of the sentence would be: ""They were taking a hard look at the possible FTA.""



"
0	syntax	". The mistake is in the word order. The correct order should be ""I paid John against the book.""
"	". The correct version of the sentence is ""I paid John against the book.""



"
1	none	. There are no grammar mistakes in the sentence. 	". The sentence is grammatically correct and conveys a clear meaning



"
1	none	. There are no grammar mistakes in the sentence. 	". The sentence is grammatically correct and conveys a clear meaning



"
1	none	. There are no grammar mistakes in the sentence. 	". The sentence is grammatically correct and conveys a clear meaning



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""reads"" should be ""read"" as the subject ""students"" is singular.
"	". The correct version of the sentence would be: ""Students studying English read Conrad's Heart of Darkness while at university.""



"
1	none	. There are no grammar mistakes in the sentence. 	". The sentence is grammatically correct and conveys a clear meaning



"
1	none	. There are no grammar mistakes in the sentence. 	". The sentence is grammatically correct and conveys a clear meaning



"
0	syntax	". The mistake is in the subject-verb agreement. The pronoun ""neither"" does not agree with the plural noun ""students."" It should be ""Neither of the students failed.""
"	". The correct version of the sentence is: ""Neither of the students failed.""



"
0	syntax	". The mistake is that the verb ""drink"" should be in the past tense ""drank"" to correctly convey the past action of drinking water.
"	". The correct version of the sentence would be: ""I drank some water.""



"
1	none	. There are no grammar mistakes in the sentence. 	". The sentence is grammatically correct and conveys a clear meaning



"
1	none	. There are no grammar mistakes in the sentence. 	". The sentence is grammatically correct and conveys a clear meaning



"
1	none	. There are no grammar mistakes in the sentence. 	". The sentence is grammatically correct and conveys a clear meaning



"
0	syntax	". The mistake is the incorrect order of the subject and the verb. It should be ""He washed himself.""
"	". The correct version of the sentence is ""He washed himself.""



"
0	syntax	". The mistake is the incorrect order of the subject and the verb. The sentence should be ""Kim is easy to please John.""
"	". The correct version of the sentence is ""Kim is easy to please John.""



"
0	syntax	". The mistake is in the subject-verb agreement. ""There"" is used as a subject, which should be ""intelligent"" instead.
"	". The correct version of the sentence would be: ""There seemed to be intelligent.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
0	syntax	". The mistake is the incorrect use of the verb ""to be"" in the sentence. Instead of ""being"" a fountain, it should be ""was"" or ""were"" depending on the context.
"	". The correct version of the sentence would be: ""We believed John to be a fountain in the park."" or ""We believed the fountain to be John in the park.""



"
1	none	". None.
"	". Your sentence is grammatically correct.



"
1	none	". None.
"	". The correct version of the sentence is: ""John tries to leave the country.""



"
0	syntax	". Mistake: The verb ""to hide"" should be in its base form ""hide"" because ""under the bed"" is a prepositional phrase acting as the subject of the sentence, not ""to hide"".
"	". Corrected sentence: Under the bed seems to be a fun place to hide.



"
1	none	". None.
"	". The correct version of the sentence is: ""There is believed to be sheep in the park.""



"
0	syntax	". The mistake is in the word order. The correct order should be ""I hope to study in France.""
"	". The correct version of the sentence is ""I hope to study in France.""



"
1	none	". None.
"	". The correct version of the sentence is: ""John can kick the ball.""



"
0	syntax	". The mistake is in the verb ""rain,"" which is a present tense verb, but it should be in the future tense to indicate that it will rain tomorrow. The correct form of the verb should be ""will rain.""
"	". The correct version of the sentence is: ""John will rain tomorrow.""



"
0	syntax	". The mistake is in the word order. The correct order should be ""We expect there to be rain.""
"	". The correct version of the sentence is ""We expect there to be rain.""



"
1	syntax	". None.
"	". The correct version of the sentence is: ""John was found in the office.""



"
0	syntax	". The mistake is in the subject-verb agreement. ""Did"" is the correct form of the verb ""to do"" for the first person singular, but ""be"" is the correct form of the verb ""to be"" for the third person singular.
"	". The correct version of the sentence would be: ""Is the child in the school?""



"
1	none	". None.
"	". The correct version of the sentence is: ""It did not rain.""



"
1	none	. There are no grammar mistakes in the sentence. 	". The sentence is grammatically correct and conveys a clear meaning



"
1	none	". None.
"	". The correct version of the sentence is: ""Mary likes to tour art galleries, but Bill hates it.""



"
1	none	. There are no grammar mistakes in the sentence. 	". The sentence is grammatically correct and conveys a clear meaning



"
1	none	". None.
"	". The correct version of the sentence is: ""Ann may spend her vacation in Italy.""



"
1	none	. There are no grammar mistakes in the sentence. 	". The sentence is grammatically correct and conveys a clear meaning



"
0	syntax	". The mistake is the missing article ""the"" before the word ""money"".
"	". The correct version of the sentence is: ""The has spent a lot of money, hasn't he?""



"
0	syntax	". The mistake is in the word order. The correct order should be: ""As a statesman, he could hardly do anything worth mentioning.""
"	". The correct version of the sentence is: ""As a statesman, he could hardly do anything worth mentioning.""



"
1	none	. There are no grammar mistakes in the sentence. 	". The sentence is grammatically correct and conveys a clear meaning



"
1	none	. There are no grammar mistakes in the sentence. 	". The sentence is grammatically correct and conveys a clear meaning



"
1	none	. There are no grammar mistakes in the sentence. 	". The sentence is grammatically correct and conveys a clear meaning



"
1	none	". None.
"	". The correct version of the sentence is: ""The car was driven.""



"
1	none	. There are no grammar mistakes in the sentence. 	". The sentence is grammatically correct and conveys a clear meaning



"
0	syntax	". The mistake is the incorrect order of the subject and the verb. The correct order should be ""The bed was slept in.""
"	". The correct version of the sentence is ""The bed was slept in.""



"
0	syntax	". The mistake is in the verb tense. ""Weighed"" should be ""Weigh"" as the pound is a noun, not a person.
"	". The correct version of the sentence is: ""A pound was weighed by the book.""



"
0	syntax	". The mistake is the lack of an article ""the"" before the word ""Tom saw.""
"	". The correct version of the sentence would be: ""Who do you think Tom saw?"" or ""Who do you think he saw?""
Note: The sentence is in the present tense, but it could be changed to past tense if the event has already happened, like ""Who did you think Tom saw?"" or ""Who did he see?""



"
1	none	". None.
"	". The correct version of the sentence is: ""He had spent five thousand dollars.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""to vote"" should agree with the subject ""politician"" which is in singular form.
"	". The correct version of the sentence would be: ""Fed knows which politician to vote for.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""computer"".
"	". The correct version of the sentence would be: ""Did you guess that he fixed the computer?""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""to honor"" should agree with its subject ""whose efforts.""
"	". The correct version of the sentence would be: ""The committee knows whose efforts to achieve peace the world should honor.""



"
0	syntax	". The mistake is in the subject of the sentence. It should be ""Which house does your friend live in?"" instead of ""Which house does your friend live?""
"	". The correct version of the sentence is ""Which house does your friend live in?""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""baker.""
"	". The correct version of the sentence would be: ""The baker, from whom I bought these bagels, left.""



"
1	none	". None.
"	". The correct version of the sentence is: ""I found the place where we can relax.""



"
0	syntax	". The mistake is in the subject-verb agreement. ""Jack is"" should be ""Jenny is"" as she is the one who fell in love with him.
"	". The correct version of the sentence would be: ""Jenny is the person with whom Jack fell in love.""



"
0	none	". None.
"	". The correct version of the sentence is: ""There is a bench where you can sit.""



"
1	syntax	". None.
"	". The correct version of the sentence is: ""I met the man who grows peaches.""



"
0	syntax	". The mistake is in the word order. The correct order should be: ""Which topic did you choose without getting his approval?""
"	". The correct version of the sentence is: ""Which topic did you choose without getting his approval?""



"
0	syntax	". The mistake is in the subject-verb agreement. ""You"" should be singular, so it should be ""Which topic did you get bored because Mary talked about?"" instead.
"	". The correct version of the sentence is: ""Which topic did you get bored because Mary talked about?""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""resigned.""
"	". The correct version of the sentence would be: ""The reason why he resigned is that...""



"
0	syntax	". The mistake is in the subject-verb agreement. The subject of the sentence is ""It"" (the sentence itself), and the verb should agree with it in number. In this case, the verb ""bothers"" should be in its base form ""bothers"" instead of ""bothers me"" (which is the correct form for the pronoun ""me"" as the object of the verb).
"	". The correct version of the sentence would be: ""It bothers me that John coughs.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""John"".
"	". The correct version of the sentence is: ""The pleasing of John is easy.""



"
0	syntax	". The mistake is the incorrect order of the subject and the verb. The sentence should be ""Tom is eager to please Kim.""
"	". The correct version of the sentence is ""Tom is eager to please Kim.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""Iraq.""
"	". The correct version of the sentence would be: ""The invasion of Iraq really bites.""



"
0	syntax	". The mistake is in the subject-verb agreement. ""It"" should be ""I"" because ""It"" is a pronoun and cannot be used as the subject of a sentence.
"	". The correct version of the sentence would be ""I annoy that Fido barks.""



"
0	syntax	". The mistake is in the subject-verb agreement. ""Who"" is singular, but ""achieved"" is a plural verb.
"	". The correct version of the sentence would be: ""Who achieved the best result was Angela.""



"
0	syntax	". The mistake is in the subject of the sentence. ""It"" should be replaced with ""the"" to make the sentence correct.
"	". The correct version of the sentence is: ""The peasant girl got it.""



"
0	syntax	". The mistake is in the subject-verb agreement. ""That kind of person"" is a noun phrase functioning as the subject, but it does not agree with the verb ""is."" It should be ""That kind of person is hard to find.""
"	". The correct version of the sentence is: ""That kind of person is hard to find anyone to look after.""



"
1	syntax	". None.
"	". The correct version of the sentence is: ""A sick owl doesn't hunt mice.""



"
0	syntax	". The mistake is in the verb tense. ""Will be"" should be ""is"" or ""were"" depending on the context.
"	". The correct version of the sentence would be: ""Each candidate who has an interest in semantics will be admitted to the department.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""provide"" should be in its base form ""provide"" instead of ""provides"" to match the subject ""each author.""
"	". The corrected sentence would be: ""Each author whose contribution is written in any language other than English will provide a summary in English.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""tickets"".
"	". The correct version of the sentence would be: ""I'm sure we even got these tickets!""



"
0	syntax	". no explanation given
"	". The correct version of the sentence would be:
""I'm even sure we got these tickets!""
(Note: The exclamation mark is not necessary as the sentence is already a question.)



"
0	syntax	". The mistake is the incorrect order of the subject and the verb. The sentence should be ""I helped him not because I have any sympathy for urban guerillas.""
"	". The correct version of the sentence is: ""I helped him not because I have any sympathy for urban guerillas.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""Sue.""
"	". The correct version of the sentence would be: ""It isn't because Sue said anything bad about me that I'm angry.""



"
0	syntax	". The mistake is in the subject-verb agreement. ""That he was hungry"" is in the passive voice and requires a plural verb ""were"", not ""was"".
"	". The correct version of the sentence would be: ""That he was hungry, John whined.""



"
0	syntax	". The mistake is in the subject of the sentence. It should be ""I"" instead of ""1"".
"	". The correct version of the sentence is: ""I gave Mary a book after the party.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""Mary.""
"	". The correct version of the sentence would be: ""The reason I like Mary is because she is so pleasant.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""hate"" should agree with its subject ""he"" in number, which is singular. The correct version of the sentence would be: ""Though he may hate those who criticize Carter, it doesn't matter.""
"	". The corrected sentence is more grammatically correct and easier to understand.



"
0	syntax	". The mistake is in the subject of the sentence. ""No job"" is not a singular noun, so it should be ""No job would make John happy.""
"	". The correct version of the sentence is: ""No job would make John happy.""



"
0	syntax	". The capitalization of the first letter of the sentence is incorrect.
"	". The correct version of the sentence is: ""I have much of the manuscript left to type.""



"
0	syntax	". The mistake is in the subject-verb agreement. ""He's"" is the wrong form of the verb ""to be"" for the subject ""he"" in this sentence. It should be ""He is"" instead.
"	". The correct version of the sentence would be: ""He is a more reliable man.""



"
0	syntax	". The mistake is in the subject-verb agreement. ""Any"" is an indefinite article and should be followed by a singular verb ""trouble,"" not a plural verb ""are.""
"	". The correct version of the sentence would be: ""I don't want any trouble.""



"
1	none	". None.
"	". Your sentence is grammatically correct and it means that bamboo can grow as high as they may grow.



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""made"" should be in its base form ""make"" as the subject ""some of them"" is in its singular form.
"	". The correct version of the sentence would be: ""Some of them made as many errors as "
0	syntax	". The mistake is that you used the pronoun ""himself"" instead of the correct pronoun ""herself"" or ""him"".
"	". The correct version of the sentence would be: ""Sally kissed herself.""



"
0	syntax	". The mistake is the incorrect order of the subject and the verb. It should be ""I believe that Rosie loves magazine ads"" instead.
"	". The correct version of the sentence is ""I believe that Rosie loves magazine ads.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""Dave, Dan, Erin, Jaime, and Alina.""
"	". The correct version of the sentence would be: ""The Dave, Dan, Erin, Jaime, and Alina left.""



"
1	none	". None.
"	". The correct version of the sentence is: ""Hopefully, we'll make it through the winter without snow.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""shows"" should agree with the subject ""Blue leather"" which is a noun, not a person.
"	". The correct version of the sentence would be: ""Blue leather shows that Betsy is pretty.""



"
1	none	". None.
"	". The correct version of the sentence is: ""Gwen hit the baseball.""



"
0	syntax	". The mistake is in the subject-verb agreement. ""Hit"" is a singular verb, but it should be ""hits"" to agree with the subject ""you.""
"	". The correct version of the sentence would be: ""I hit you knew the answer.""



"
0	syntax	". The mistake is that the verb ""lost"" should be in its base form ""lose"" to match the past tense of the sentence.
"	". The correct version of the sentence would be: ""I've lost my wallet or I've lost my mind.""



"
1	none	". None.
"	". Your sentence is grammatically correct.



"
1	none	". None.
"	". The correct version of the sentence is: ""He likes cookies, and he hates crumb cake.""



"
0	syntax	". The mistake is in the use of the verb ""chased"" instead of ""chase"".
"	". The correct version of the sentence is: ""They chased the man with the car.""



"
0	syntax	". The mistake is the incorrect use of the verb ""to have"" in the past tense. It should be ""I didn't have"" instead of ""I didn't had.""
"	". The correct version of the sentence is: ""I didn't have a red cent.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""book of poems.""
"	". The correct version of the sentence would be: ""The book of poems from Blackwell takes a very long time to read.""



"
0	syntax	". The mistake is in the subject-verb agreement. ""The one with a red cover"" should be ""The one with a red cover"" because ""red cover"" is a noun phrase functioning as an attributive noun modifying ""one.""
"	". The correct version of the sentence is: ""The one with a red cover takes a very long time to read.""



"
1	none	". None.
"	". The correct version of the sentence is: ""John has a fear of dogs.""



"
0	syntax	". The mistake is in the subject-verb agreement. ""The building's"" should be ""the building is"" to make the sentence correct.
"	". The correct version of the sentence is ""The building is leaking.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""coat"" should be in its present form ""coats"" to match the subject ""panther's"".
"	". The correct version of the sentence would be: ""The panther's coat is dark black.""



"
0	syntax	". The mistake is in the subject of the sentence. ""They"" is not agreed with the verb ""could get."" It should be ""he"" or ""she"" to match the subject ""Colin.""
"	". The correct version of the sentence would be: ""Colin asked if he could get a mortgage.""



"
0	syntax	". The mistake is the incorrect order of the subject and the verb. The verb ""robbed"" should come after the subject ""man.""
"	". The correct version of the sentence would be: ""The man who got into the cab robbed the bank.""



"
0	syntax	". The mistake is that the verb ""eat"" should be in its base form ""eat"" instead of ""eats"" to match the subject ""you"".
"	". The correct version of the sentence would be: ""I know you eat asparagus.""



"
0	syntax	". The mistake is in the subject-verb agreement. ""John's drum"" is a noun phrase functioning as the subject of the sentence, but it should be followed by a verb in its base form, not the third person singular form ""bothers.""
"	". The correct version of the sentence would be: ""John's drum will always bother me.""



"
0	syntax	". The capitalization of the first letter of the sentence is incorrect.
"	". The correct version of the sentence is: ""An evil thought struck Dave.""



"
0	syntax	". The mistake is in the verb placement. ""In the classroom John put the book on the table"" should be ""John put the book on the table in the classroom.""
"	". The correct version of the sentence is ""John put the book on the table in the classroom.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""gave"" should be in its base form ""give"" as the subject ""Phillip"" is singular, but it is in its participle form ""given"" which is used for past participle verbs.
"	". The correct version of the sentence would be: ""Phillip gave the medal to the soldier.""



"
0	syntax	". The mistake is the incorrect order of the subject ""Heidi"" and the verb ""thinks"". It should be ""Heidi thinks that Andy eats salmon flavored candy bars.""
"	". The correct version of the sentence is ""Heidi thinks that Andy eats salmon flavored candy bars.""



"
0	syntax	". The mistake is the incorrect use of the verb ""to eat"". It should be ""eats"" in the past tense, as the sentence is in the past tense.
"	". The correct version of the sentence would be: ""Heidi thinks that Andy should eat salmon-flavored candy bars.""



"
1	none	". None.
"	". The sentence is grammatically correct as it is.



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""did"" should agree with the subject ""Calvin"" in number, which is singular. The correct sentence should be ""Did Calvin do his homework?""
"	". The correct version of the sentence is: ""Did Calvin do his homework?""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""Sylvia"" and ""Jeff.""
"	". The correct version of the sentence would be: ""The Sylvia was slapping Jeff upside the head in martial arts class.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""buy"" should be in its base form ""buy"" instead of ""buys"" to match the subject ""I"".
"	". The correct version of the sentence would be: ""If I am a rich man, I would buy a diamond ring.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""buy"" should agree with the subject ""he"" which is in the present tense, so the sentence should be ""If he were a rich man, he would buy a diamond ring.""
"	". The correct version of the sentence is ""If he were a rich man, he would buy a diamond ring.""



"
1	syntax	". None.
"	". The correct version of the sentence is: ""John is likely to leave.""



"
1	none	". None.
"	". The correct version of the sentence is: ""The manager laughed.""



"
0	syntax	". The mistake is in the use of the verb ""sunk"" which is the past tense of the verb ""sink"". The correct verb to use in this context is ""was sunk"" or ""sank"".
"	". The correct version of the sentence would be ""Was sunk"" or ""Sank"".



"
0	syntax	". The mistake is the missing article ""the"" before the word ""gorilla.""
"	". The correct version of the sentence would be: ""Who did you think kissed the gorilla?""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""model airplane collection.""
"	". The correct version of the sentence is ""Have you seen the model airplane collection?""



"
1	none	". None.
"	". Your sentence is grammatically correct.



"
0	syntax	". The mistake is the missing article ""the"" before the word ""salad.""
"	". The correct version of the sentence would be: ""I ate a salad that was filled with lima beans.""



"
1	none	". None
"	". The correct version of the sentence is: ""There were four men arriving at the station when I pulled up.""



"
1	none	". None.
"	". The correct version of the sentence is: ""Jean is reluctant to dance.""



"
1	none	". None.
"	". The correct version of the sentence is: ""I want her to dance.""



"
0	syntax	". The mistake is the lack of a verb in the second clause. It should be ""Jean persuaded Robert to do something"" or ""Jean persuaded Robert to be something"".
"	". The correct version of the sentence would be: ""Jean persuaded Robert to do something"" or ""Jean persuaded Robert to be something"".



"
0	syntax	". The mistake is in the use of the verb ""to do"" in its continuous form ""does"" instead of the base form ""do"".
"	". The correct version of the sentence would be: ""Jean wants Bill to do the Macarena.""



"
1	none	". None.
"	". The correct version of the sentence is: ""The children admire their mother.""



"
0	syntax	". The mistake is in the subject of the sentence. It should be ""Who has Peter talked with?"" instead of ""Who has Peter talked with?""
"	". The correct version of the sentence is ""Who has Peter talked with?""



"
1	none	". None.
"	". The correct version of the sentence is: ""Heidi likes her violin.""



"
0	syntax	". The mistake is the incorrect order of the subject and the verb. The sentence should be ""Mary loves John,"" not ""John thinks that Mary loves himself.""
"	". The correct version of the sentence is ""Mary loves John.""



"
0	syntax	". The mistake is in the subject of the sentence. It should be ""Which pictures of himself does John like?"" instead of ""Which pictures of himself does John like?"".
"	". The correct version of the sentence is: ""Which pictures of himself does John like?""



"
0	syntax	". The mistake is that ""Any"" should be ""A"" before ""owl"".
"	". The correct version of the sentence is ""A owl hunts mice.""



"
0	syntax	". The mistake is in the subject of the sentence. ""Any man"" is not a singular subject to match the verb ""ate."" It should be ""Any man did not eat dinner.""
"	". The correct version of the sentence is: ""Any man did not eat dinner.""



"
1	none	". No mistakes are visible in the sentence.
"	". The correct version of the sentence is: ""A pilot could fly this plane.""



"
1	none	". None.
"	". The correct version of the sentence is.



"
0	syntax	". The mistake is the missing article ""the"" before the word ""rally.""
"	". The correct version of the sentence would be: ""The rally last week was huge, and anyone who attended signed the petition.""



"
1	none	". None.
"	". The correct version of the sentence is.



"
1	none	". None.
"	". The correct version of the sentence is.



"
1	none	". None.
"	". Your sentence is grammatically correct and can be left as is.



"
0	syntax	". The mistake is the missing article ""the"" before the word ""plane.""
"	". The correct version of the sentence would be: ""The pilot on duty today could be flying this plane.""



"
0	syntax	". The mistake is in the subject-verb agreement. ""You"" is singular, but ""may pick"" is in the plural form. It should be ""You may pick every flower, but leave a few for Mary.""
"	". The correct version of the sentence is: ""You may pick every flower, but leave a few for Mary.""



"
1	none	". None.
"	". The correct version of the sentence is.



"
0	syntax	". The mistake is in the subject of the sentence. It should be ""Which car was the man seen in?"" instead of ""In which car was the man seen?""
"	". The correct version of the sentence would be: ""Which car was the man seen in?""



"
1	none	". None.
"	". The correct version of the sentence is.



"
0	syntax	". The mistake is in the order of the clauses. The correct order should be: ""The kennel that Mary made, Fido sleeps in it.""
"	". The correct version of the sentence is: ""The kennel that Mary made, Fido sleeps in it.""



"
0	syntax	". The mistake is the incorrect order of the subject and the verb in the second clause. It should be ""Bill actually ate a raw eggplant"" instead of ""Bill actually did eat a raw eggplant.""
"	". The correct version of the sentence would be: ""Tom said he would, and Bill actually ate a raw eggplant.""



"
1	none	". None.
"	". The correct version of the sentence is.



"
1	none	". None.
"	". The correct version of the sentence is.



"
1	none	". None.
"	". The correct version of the sentence is: ""A tall building.""



"
1	none	". None.
"	". The correct version of the sentence is: ""This building is tall.""



"
1	none	". None.
"	". The correct version of the sentence is.



"
1	none	". None.
"	". The correct version of the sentence is.



"
0	syntax	". The mistake is in the subject-verb agreement. ""She asked"" is in the present tense, but ""was Alison coming"" is in the passive voice and requires the past continuous tense.
"	". The correct version of the sentence would be: ""She asked if Alison was coming to the party.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""realized"" should be in its base form ""realize"" as the subject ""they"" is in its singular form.
"	". The correct version of the sentence would be: ""They realized that Sir Thomas had never been so offended.""



"
1	none	". None.
"	". The correct version of the sentence is.



"
0	syntax	". The mistake is in the verb tense. ""Knowing"" should be in the past tense ""knew"" and ""took"" should be in the past participle ""taken"" to match the past tense of ""knowing.""
"	". The correct version of the sentence would be: ""Knowing the country well, he took a short cut.""



"
1	none	". None.
"	". The correct version of the sentence is.



"
1	none	". None.
"	". The correct version of the sentence is.



"
1	none	". None.
"	". The correct version of the sentence is.



"
0	syntax	". The mistake is in the word order. The correct order should be: ""The idea dismayed the Prime Minister that the Dome was dull.""
"	". The correct version of the sentence is: ""The idea dismayed the Prime Minister that the Dome was dull.""



"
0	syntax	". The mistake is the lack of a subject before the verb ""did."" It should be ""He came right in without so much as a knock.""
"	". The correct version of the sentence is: ""He came right in without so much as a knock.""



"
1	none	". None.
"	". The correct version of the sentence is: ""Harriet admired Mr. Knightley.""



"
1	none	". None.
"	". The correct version of the sentence is.



"
0	syntax	". The mistake is the missing article ""the"" before the word ""awkward questions.""
"	". The correct version of the sentence would be: ""The Ethel wishes to ask you some awkward questions.""



"
1	none	". None.
"	". The correct version of the sentence is.



"
0	syntax	". The mistake is the missing article ""the"" before the word ""window"".
"	". The correct version of the sentence would be: ""The window was broken with a hammer.""



"
1	none	". None.
"	". The correct version of the sentence is.



"
0	syntax	". The mistake is in the verb tense. ""Marched"" should be in the past tense ""marched"" instead.
"	". The correct version of the sentence is: ""The guard marched the prisoners around the yard.""



"
